ID	Area	SlopesKM	EasyKM	MedKM	DiffKM	Lifts	Lowest	Highest	Glacier	url	PriceH1	PriceH5	PriceL1	PriceL5	PriceH1_avg	PriceH5_avg	PriceL1_avg	PriceL5_avg	Nights
0	Saalbach Hintergl. Leogang Fiberbr.	270	140	110	20	70	850	2096	0	http://www.saalbach.com/	52	214.5	44	182.5	45.02222222	199.1055556	42.74444444	186.0666667	2197828
1	Zell am See - Kaprun	138	54	55	29	49	758	3029	1	http://www.zellamsee-kaprun.com/	50	218	45	208	45.02222222	199.1055556	42.74444444	186.0666667	1702155
2	Zillertal Arena	143	43	89	11	51	1470	2500	0	https://www.zillertalarena.com	50.5	208.5	50.5	208.5	45.02222222	199.1055556	42.74444444	186.0666667	328024
3	Wildkogel Arena	61	27	24	10	18	820	2235	0	www.wildkogel-arena.at	44	190	44	190	45.02222222	199.1055556	42.74444444	186.0666667	287444
4	Mittersill Hollersbach - Kitzbühel	173	91	57	25	54	800	2000	0	http://www.mittersill-tourismus.at/	51	217	46	195.5	45.02222222	199.1055556	42.74444444	186.0666667	207671
5	Uttendorf-Weissee	23	6	15	2	8	1480	2600	0	http://www.uttendorf.com/	34	153	31	139	45.02222222	199.1055556	42.74444444	186.0666667	97311
6	Rauris	30	5	20	5	10	950	2200	0	raurisertal.at	40.5	183	38.5	170	45.02222222	199.1055556	42.74444444	186.0666667	189466
7	Alpenwelt Lofer / Heutal	54	35	16	3	14	640	1747	0	lofer.com	41	173.5	38.5	163	45.02222222	199.1055556	42.74444444	186.0666667	124138
8	Hochkönig	112	52	41	19	33	800	2000	0	hochkoenig.at	49.5	229.5	46	213	45.02222222	199.1055556	42.74444444	186.0666667	657853
9	Grossarltal	80	26	43	2	17	850	2033	0	www.grossarltal.info	50	229.5	50	213	45.02222222	199.1055556	42.74444444	186.0666667	396036
10	Gastein	208	65	117	15	43	835	2686	0	gastein.at	50.5	229.5	47	213	45.02222222	199.1055556	42.74444444	186.0666667	1344907
11	Salzburger Sportwelt	240	103	125	12	95	750	2150	0	www.salzburgersportwelt.com	48	221.5	44.5	206	45.02222222	199.1055556	42.74444444	186.0666667	2612408
12	Werfenweng	27	11	15	1	9	902	1834	0	werfenweng.eu	39	175.5	36.5	163	45.02222222	199.1055556	42.74444444	186.0666667	160180
13	Forstau / Fageralm	12	7	5	0	7	930	1885	0	www.forstau.at	46	229.5	43.5	213	45.02222222	199.1055556	42.74444444	186.0666667	45975
14	Obertauern	100	60	36	4	26	1630	2313	0	www.obertauern.com	44	195.5	44	182	45.02222222	199.1055556	42.74444444	186.0666667	95617
15	Salzburger Lungau	150	49	74	27	31	1100	2400	0	www.lungau.at	44	209	44	194	45.02222222	199.1055556	42.74444444	186.0666667	1
16	Dachstein West - Tennengau	142	32	94	16	50	712	1600	0	www.tennengau.com	42.4	187.9	42.4	176.7	45.02222222	199.1055556	42.74444444	186.0666667	178729
17	Krispl - Gaissau / Hintersee	34	18	15	1	9	750	1568	0	www.gaissauhintersee.at	34	119	34	119	45.02222222	199.1055556	42.74444444	186.0666667	7186